
Final Points
2.133563e+00 1.562995e+01
4.022739e+00 1.594522e+01
4.215013e+00 1.566888e+01
3.755164e+00 1.619829e+01
1.183861e+01 1.261687e+01
9.444252e+00 9.492302e+00
1.164788e+01 1.231476e+01
8.839577e+00 9.882335e+00
1.689295e+00 1.609018e+01
1.783298e+00 1.607278e+01
9.086979e+00 9.375364e+00
1.195523e+01 1.195144e+01
9.496753e+00 9.578910e+00
4.273271e+00 1.536348e+01
1.465984e+00 1.634772e+01
4.034512e+00 1.561362e+01
1.654578e+00 1.550518e+01
3.720386e+00 1.597244e+01
2.135093e+00 1.618603e+01
8.703590e+00 9.735384e+00
8.545191e+00 9.933127e+00
4.366331e+00 1.568901e+01
1.172773e+01 1.211873e+01
3.945248e+00 1.557656e+01
